"","...1","text","arousal","annotator"
"182",61,"As often happens in the gulf when the showers during the first part of the night had been frequent and heavy, the darkness had thinned considerably towards the morning though there were no signs of daylight as yet.","L","Sveta"
"106",62,"The last was effected without difficulty by a company of soldiers swarming with a rush over the gangways as she lay alongside the quay; but the lieutenant charged with the duty of arresting the telegraphist halted on the way before the only cafe in Esmeralda, where he distributed some brandy to his men, and refreshed himself at the expense of the owner, a known Ribierist.","H","Landry"
"183",63,"Bolt was glad to obey, for he was tired and hungry after his dismal  failure.","H","Sveta"
"193",64,"Adele now petitioned to go down; but I took her on my knee, and gave her to understand that she must not on any account think of venturing in sight of the ladies, either now or at any other time, unless expressly sent for: that Mr. Rochester would be very angry,  c. ""Some natural tears she shed"" on being told this; but as I began to look very grave, she consented at last to wipe them.","L","Sveta"
"12",65,"But now her true self had returned matured in its mysterious exile,  hopeful and eager for love.","H","Adriana"
"40",66,"He stepped back to look at his work admiringly, feeling very proud.","H","Adriana"
"62",67,"Mr. Helstone looked round uneasily once or twice, as if he wished her away; but she was gazing from the window, and did not seem to mind him: so he continued the perusal of his morning paper - a particularly interesting one it chanced to be, as new movements had just taken place in the Peninsula, and certain columns of the journal were rich in long dispatches from General Lord Wellington.","L","Davide"
"100",68,"He took the tumbler with a shaking hand, and as he drank his teeth chattered against the glass which he drained and set down heavily on the table.","L","Davide"
"86",69,"It was one's body feeling, not one's mind.","L","Davide"
"96",70,"I am conscious myself of a weight at my heart and a feeling of impending danger - ever present dan- ger, which is the more terrible because I am unable to define it.","H","Davide"
"92",71,"Nearly all of them were totally ruined - an irreparable loss.","H","Davide"
"9",72,"I resolved, in the depth of my heart, that I would be most moderate - most correct; and, having reflected a few minutes in order to arrange coherently what I had to say, I told her all the story of my sad childhood.","L","Adriana"
"109",73,"""And mind,"" he continued, ""don't  bother me with any details of the anatomical process, or any notice of the condition of the entrails: let your operation be conducted in silence: tiens-toi tranquille, enfant; comprends-tu?""","H","Landry"
"69",74,"It had been otherwise in his time when men fought against tyranny, in the forests of Brazil, or on the plains of Uruguay, starving on half-raw beef without salt, half naked, with often only a knife tied to a stick for a weapon.","H","Davide"
"31",75,"""My daughter is very young--she is scarce of an age to marry.""","L","Adriana"
"162",76,"He also objected to the Arabs being made use of in that matter; but he suggested Almayer, saying that he was a weak man easily persuaded, and that his friend, the English captain of the steamer, could be made very useful - very likely even would join in the business, smuggling the powder in the steamer without Abdulla's knowledge.","H","Sveta"
"45",77,"On this occasion her arrogant feeling that she could direct everybody dwindled away.","L","Adriana"
"22",78,"Sykes, for instance, when his dressing-shop was set on fire and burned to the ground, when the cloth was torn from his tenters and left in shreds in the field, took no steps to discover or punish the miscreants: he gave up as tamely as a rabbit under the jaws of a ferret.","H","Adriana"
"120",79,"""Truth is not for everybody to know,"" mumbled Peyrol, with a sinking  sensation as though the very ground were going soft under his feet.","H","Landry"
"145",80,"""So am I, Joe,"" replied Shirley, who had rather a pleasure in teasing the overlooker, by persisting in talking on subjects with which he opined she, as a woman, had no right to meddle - ""partly, at least.","H","Landry"
"33",81,"A feeling of peace  sank into him, not unmingled with pride.","L","Adriana"
"195",82,"Her features lost the appearance of stony indifference that had exasperated her father into his outburst of anger and sorrow.","H","Sveta"
"83",83,"The risk of it was not so much deadly as particularly odious.","L","Davide"
"13",84,"So she flitted - her figure, enlarging as it was, still allowed her to glide between table and chair - hither and thither; removed the fire-screen and set a light, before he could stop her, to the grudging lodging-house fire.","H","Adriana"
"191",85,"It may be the extreme of mortal misery, it may be sheer waste of time, and fruitless torture of feeling.","H","Sveta"
"110",86,"For the whole world seemed to have dissolved in this early morning hour into a pool of thought, a deep basin of reality, and one could almost fancy that had Mr. Carmichael spoken, for instance, a little tear would have rent the surface pool.","H","Landry"
"84",87,"She tried to whip up some feeling of affection, of pity.","L","Davide"
"20",88,"And, perhaps, one day his snow-sepulchre will open, spring's softness will return, the sun and south-wind will reach him; the budding of hedges, and carolling of birds, and singing of liberated streams, will call him to kindly resurrection.","H","Adriana"
"142",89,"Confidence has made her honest; forbearance has made her kind-hearted.","L","Landry"
"155",90,"They'll say that all their lives, she thought, and an exquisite scent of olives and oil and juice rose from the great brown dish as Marthe, with a little flourish, took the cover off.","L","Sveta"
"176",91,"Thus we find such modern creatures as the tapir - an animal with quite a respectable length of pedigree - the great deer, and the ant-eater in the companionship of reptilian forms of jurassic type.","L","Sveta"
"122",92,"It is true that we had made a strict resolution against firing, but if it seemed to them that I might be in danger they would not hesitate.","H","Landry"
"99",93,"So, between the old sinner and the young one the girl has had a pretty bad time.""","L","Davide"
"119",94,"The unfortunate delay can be apportioned between a blundering pilot and an intrusive sandbank.","L","Landry"
"15",95,"A ferocious beast would surely have destroyed them and left their remains.","H","Adriana"
"190",96,"When the dawn of Christmas morning broke, my Frank was with God.","L","Sveta"
"158",97,"Anybody may blame me who likes, when I add further, that, now and then, when I took a walk by myself in the grounds; when I went down to the gates and looked through them along the road; or when, while Adele played with her nurse, and Mrs. Fairfax made jellies in the storeroom, I climbed the three staircases, raised the trap-door of the attic, and having reached the leads, looked out afar over sequestered field and hill, and along dim sky-line - that then I longed for a power of vision which might overpass that limit; which might reach the busy world, towns, regions full of life I had heard of but never seen - that then I desired more of practical experience than I possessed; more of intercourse with my kind, of acquaintance with variety of character, than was here within my reach.","L","Sveta"
"63",98,"""I shall go grey, I fear, before the ring is on my finger,"" she said, slowly, keeping her gaze fastened upon him.","L","Davide"
"139",99,"For this reason I saw a good deal of Sir Charles Baskerville.","H","Landry"
"74",100,"He gave that, too; and in the doorway paused for a moment to look at the flat face of the San Tome mountain with a faint frown.","L","Davide"
"136",101,"Looking through the darkness, she marked the swelling ground and the tree.","H","Landry"
"126",102,"Where the real sex feeling begins, timidity and distrust are its companions, heritage from old wicked days when love and violence went often hand in hand.","H","Landry"
"166",103,"Trouble no quiet, kind heart; leave sunny imaginations hope.","L","Sveta"
"11",104,"I should say she has a good deal of literary feeling.""","L","Adriana"
"198",105,"What she said was very simple, but her words, even ""Your tea, William,"" were set down as gently and cautiously and exactly as the feet of a Persian cat stepping among China ornaments.","L","Sveta"
"161",106,"""Your nervous system bore a good share of the suffering?""","H","Sveta"
"6",107,"""How can I love the man you're engaged to marry?""","H","Adriana"
"113",108,"He saw Satan, and Sin his daughter, and Death their horrible offspring.","H","Landry"
"111",109,"Evidently Lakamba's mercy went so far - for in a short while he came out from behind the curtain - but it did not go to the length of inducing him to make an extensive toilet.","L","Landry"
"192",110,"Not wishing him to go quite away, only desiring he should feel that such a transport as he had that day given way to, could not be indulged with perfect impunity, I was not sorry to see him, soon after, gardening in the berceau.","L","Sveta"
"78",111,"""God grant me a little comfort before I die!""","L","Davide"
"98",112,"In more fertile spots the observer would have come to the conclusion that one of those great herds of bisons which graze upon the prairie land was approaching him.","L","Davide"
"167",113,"Her husband was in great spirits tonight, and wishing, she supposed, to make it all right with old Augustus after that scene about the soup, had drawn him in -  they were telling stories about some one they had both known at college.","H","Sveta"
"121",114,"It smeared the window where the Jew boy from Birmingham sat mugging up Greek with a wet towel round his head; where Dr. Malone sat up late writing another chapter in his monumental history of the college.","H","Landry"
"70",115,"His Honor a pretty title, but still, not at the top of the tree.","L","Davide"
"134",116,"He filled her with terror and with an almost unbearable feeling of pity.","H","Landry"
"170",117,"""As white as clay or death,"" was responded.","L","Sveta"
"8",118,"To me he seems now all sacred, his locks are inaccessible, and, Lucy, I feel a sort of fear, when I look at his firm, marble chin, at his straight Greek features.","H","Adriana"
"47",119,"Entering the house, they repaired to the darkened dining-room, through the open windows of which apartment stole the evening air, bearing the perfume of flowers from the garden, the very distant sound of far-retreating steps from the road, and a soft, vague murmur whose origin Caroline explained by the remark, uttered as she stood listening at the casement, ""Shirley, I hear the beck in the Hollow.""","L","Adriana"
"133",120,"As if any interruption would break the frail shape she was building on the table she turned her back to the window lest Mr. Ramsay should see her.","H","Landry"
"79",121,"The wise adviser would be the first victim, no doubt, and death would be his reward.","L","Davide"
"177",122,"Katharine had forgotten to remove this token of her star-gazing.","L","Sveta"
"46",123,"If I DO go with him - if I DO make the sacrifice he urges, I will make it absolutely: I will throw all on the altar - heart, vitals, the entire victim.","L","Adriana"
"87",124,"Without hurry or flutter he opened a book; found his place; read out a passage, upon which old Curry nodded, and made a note in the great volume that lay open in front of him.","L","Davide"
"53",125,"You are aware that I am not a very sound sleeper, and since I have been on guard in this house my slumbers have been lighter than ever.","L","Davide"
"7",126,"Stars above, stars all round him; and from the stars under his feet rose a whisper full of entreaties and tears, and sorrowful faces flitted amongst the clusters of light filling the infinite space below.","H","Adriana"
"24",127,"He was a long chap, with a red face, the lower part muffled round----"" ""That will do,"" cried Holmes.","L","Adriana"
"82",128,"Almayer's elaborately calm demeanour gave way in a moment to an outburst of violent indignation.","H","Davide"
"16",129,"The inhabitants got used to the sight of comings and goings between Almayer's house and the vessel, now moored to the opposite bank, and speculation as to the feverish activity displayed by Almayer's boatmen in repairing old canoes ceased to interfere with the due discharge of domestic duties by the women of the Settlement.","L","Adriana"
"25",130,"The woman's words came with an intense earnestness which carried conviction with them.","L","Adriana"
"185",131,"""Living, as I do, in an educated and scientific atmosphere, I could not have conceived that the first principles of zoology were so little known.","L","Sveta"
"154",132,"Still she would hold off, and now she would assert for a brief season some of those prides and airs the due of her beauty which she was generally utterly without; would turn her head; would look so, over her shoulder, always with some Minta, Paul, or William Bankes at her side.","L","Sveta"
"178",133,"At first exciting, then it became boring and finally intolerable.","H","Sveta"
"173",134,"Your glory shall be great, and your reward in powerful friendship.","L","Sveta"
"60",135,"And again, as she intercepted his cup in passing, and would stir the sugar, and put in the cream herself, ""I always did it for you at home; papa: nobody could do it as well, not even your own self.""","L","Davide"
"138",136,"said his mother, hiding a glad smile and speaking curtly.","H","Landry"
"151",137,"He had sworn a mighty oath to marry her to a white man before he went home and to leave her all his money.","H","Sveta"
"49",138,"At last in the stress of her fear she did that which might have daunted the bravest or most active man, for by the aid of the growth of ivy which covered  and still covers  the south wall she came down from under the eaves, and so homeward across the moor, there being three leagues betwixt the Hall and her father's farm.","H","Adriana"
"42",139,"""An Arab trader of this place has sent the information about your goings on here to Batavia, a couple of months ago,"" said the officer.","L","Adriana"
"103",140,"Perhaps he might bring help; but in any case he would ensure that our lives were not spent for nothing, and that news of all that we had won for Science should reach our friends at home.","L","Landry"
"14",141,"Nor was I; but I was a good deal interested and excited.","L","Adriana"
"125",142,"She breathed into the feeling softness; she poured round the passion force.","H","Landry"
"1",143,"Scorn for scorn, contempt for contempt, hate for hate.","H","Adriana"
"137",144,"Sitting on the floor with her arms round Mrs. Ramsay's knees, close as she could get, smiling to think that Mrs. Ramsay would never know the reason of that pressure, she imagined how in the chambers of the mind and heart of the woman who was, physically, touching her, were stood, like the treasures in the tombs of kings, tablets bearing sacred inscriptions, which if one could spell them out, would teach one everything, but they would never be offered openly, never made public.","L","Landry"
"30",145,"I only had three pairs in the world - the new brown, the old black, and the patent leath- ers, which I am wearing.","L","Adriana"
"147",146,"It was a foggy, cloudy morning, and a dun-coloured veil hung over the house-tops, looking like the reflection of the mud-coloured streets beneath.","L","Landry"
"57",147,"He broke off a sentence and let it swim in his mind.","L","Davide"
"179",148,"Cold abstraction, fleshless skeleton, daughter, mother, and mate of Death!","H","Sveta"
"41",149,"His heart was beating violently with the fear of this liberty.","H","Adriana"
"174",150,"They gave him his dinner in a stone hut like a cubical boulder, with no door or windows in its two openings; a bright fire of sticks  brought on muleback from the first valley below  burning outside, sent in a wavering glare; and two candles in tin candlesticks - lighted, it was explained to him, in his honour - stood on a sort of rough camp table, at which he sat on the right hand of the chief.","L","Sveta"
"172",151,"He rose, and stirred about the papers on his table, as if in doubt; he then picked up a manuscript, and after spreading it smoothly upon his knee, he looked up at Katharine suspiciously.","H","Sveta"
"165",152,"Mary could not help feeling the simplicity and good faith that lay behind Katharine's words.","H","Sveta"
"180",153,"With me, then, it seems, you cannot go: but if you are sincere in your offer, I will, while in town, speak to a married missionary, whose wife needs a coadjutor.","L","Sveta"
"29",154,"While giving way to his bitter mirth, the  rover had caught sight of Arlette's face at the, open window of the  lieutenant's room.","L","Adriana"
"18",155,"It might have been the shadow of a driving cloud, so noiseless and rapid was its passage, but for the trail of disturbed grass, whose feathery heads trembled and swayed for a long time in the moonlight before they rested motionless and gleaming, like a design of silver sprays embroidered on a sombre background.","L","Adriana"
"159",156,"He stood up and buckled the belt on, while Peyrol rose more  deliberately from the bench, and said:    ""She can't  be where we saw her at anchor last night.","H","Sveta"
"148",157,"""Let Miss Eyre be seated,"" said he: and there was something in the forced stiff bow, in the impatient yet formal tone, which seemed further to express, ""What the deuce is it to me whether Miss Eyre be there or not?","L","Landry"
"90",158,"""In that field, Adele, I was walking late one evening about a fortnight since - the evening of the day you helped me to make hay in the orchard meadows; and, as I was tired with raking swaths, I sat down to rest me on a stile; and there I took out a little book and a pencil, and began to write about a misfortune that befell me long ago, and a wish I had for happy days to come: I was writing away very fast, though daylight was fading from the leaf, when something came up the path and stopped two yards off me.","L","Davide"
"76",159,"It was a dreadful moment; unhappy; muddled; altogether wrong.","H","Davide"
"55",160,"Great flocks of white birds wheeled screaming above the swaying tree-tops.","H","Davide"
"73",161,"The mill-windows were alight, the bell still rung loud, and now the little children came running in, in too great a hurry, let us hope, to feel very much nipped by the inclement air; and indeed, by contrast, perhaps the morning appeared rather favourable to them than otherwise, for they had often come to their work that winter through snow-storms, through heavy rain, through hard frost.","L","Davide"
"123",162,"When there, a fresh altercation arose between them, in the course of which Drebber received a blow from the stick, in the pit of the stomach, perhaps, which killed him without leaving any mark.","H","Landry"
"131",163,"It would be quite as deadly, and a good deal less noisy than firing across a handkerchief.","L","Landry"
"2",164,"Distrust, the very feeling I dreaded, appeared in Hannah's face.","H","Adriana"
"153",165,"Was he our malignant enemy, or was he by chance our guardian angel?","H","Sveta"
"91",166,"I was certainly feeling very weary, so I obeyed his injunction.","L","Davide"
"199",167,"""Yes, Mrs Egerton,"" said her father, and went on telling his story about Mrs Egerton, ""whose golden hair was said by the voice of slander not to be entirely her own.""","L","Sveta"
"157",168,"For that matter, so great a gap separates these ape-men from the primitive animals which have survived upon this plateau, that it is inadmissible to think that they could have developed where we find them.""","L","Sveta"
"48",169,"I had the same feeling of mystery and danger around us.","H","Adriana"
"116",170,"When I reached him he was groping about frantically in the empty cab, and giving vent to the finest assorted collection of oaths that ever I listened to.","H","Landry"
"51",171,"During a deadly struggle against an irreconcilable enemy his life belonged to his country.","H","Davide"
"3",172,"Then, with a frightful heave they shot the poor wretch over the precipice.","H","Adriana"
"102",173,"How pleasant it was in its air of perfect domestic comfort!","L","Landry"
"129",174,"The greatest demonstration of all, however, was at the entrance of my new acquaintance, Professor Challenger, when he passed down to take his place at the extreme end of the front row of the platform.","H","Landry"
"124",175,"This caused Peyrol to look  at him with intense astonishment.","H","Landry"
"118",176,"""A false step yonder means death to man or beast.","H","Landry"
"168",177,"Then, with a wave of the hand dictated by centuries of tradition, Mrs Larpent drew back her foot, as if she had encroached upon one of the chalk marks which decorate academic lintels and, signifying that Mrs Lathom, wife of the Divinity professor, should precede her, they passed out into the rain.","L","Sveta"
"175",178,"The English would have been interested enough to send a boat  ashore to go through our pockets, and whether dead or only half dead we  wouldn't  have been in a state to prevent them.","L","Sveta"
"114",179,"At the same time, he felt drawn to her as he had never been before; partly, no doubt, because she was more independent of him than in London, and seemed to be attached firmly to a world where he had no place at all.","H","Landry"
"186",180,"And yet nobody could have worked harder or done better in all the recognized stages of a young man's life than Ralph had done, and Joan had to gather materials for her fears from trifles in her brother's behavior which would have escaped any other eye.","H","Sveta"
"66",181,"His legacy was suspense - a worse boon than despair.","H","Davide"
"196",182,"Symons  experienced the feeling of a very narrow escape; yet it brought not much  relief.","L","Sveta"
"17",183,"Their dread of the raving tyrant translated itself into a hasty ferocity of procedure.","L","Adriana"
"56",184,"Fuller knowledge of the organization which produced such terrible results served to increase rather than to lessen the horror which it inspired in the minds of men.","H","Davide"
"4",185,"It confirmed some obscure feeling of his about his own character.","H","Adriana"
"39",186,"I stayed for the most part at Coombe Tracey, and only used the hut upon the moor when it was necessary to be near the scene of action.","L","Adriana"
"130",187,"However, here we possess the advantage of having only one South American Government hanging around for plunder out of the deal.","L","Landry"
"112",188,"It seemed to me that the mists in my own mind were gradually clearing away, and I began to have a dim, vague perception of the truth.","L","Landry"
"44",189,"Now and then he heard voices in the house, and the closing of bedroom doors, which showed that the building, at the top of which he sat, was inhabited in every one of its cells.","L","Adriana"
"36",190,"After supper, he began to ask me many questions, of where I had been, what I had been doing, how I had found him out; but I gave him only very partial replies: it was too late to enter into particulars that night.","L","Adriana"
"58",191,"You quote an isolated sentence from my lecture, and appear to have some difficulty in understanding it.","L","Davide"
"197",192,"Shirley showed she had been sincere in saying she should be glad of Caroline's society, by frequently seeking it; and, indeed, if she had not sought it, she would not have had it, for Miss Helstone was slow to make fresh acquaintance.","L","Sveta"
"164",193,"Miss Ingram was a mark beneath jealousy: she was too inferior to excite the feeling.","L","Sveta"
"132",194,"The person that  came nearest to trying his composure was a certain naval captain with a  patch over one eye and a very threadbare uniform coat who was doing some  administrative work at the Port Office.","L","Landry"
"19",195,"Her father refused to have anything to do with her because she had married without his consent and per- haps for one or two other reasons as well.","L","Adriana"
"50",196,"I had driven some distance when I put my hand into the pocket in which I usually kept Lucy's ring, and found that it was not there.","L","Adriana"
"200",197,"The Admiral, who had been all the time looking absently at the Amelia  keeping her station with the tartane in tow, said:    ""You have a very smart little ship, Vincent.","L","Sveta"
"156",198,"The peaceful penetration of Maple White Land was the pressing subject before us.","L","Sveta"
"34",199,"Chapter 8  First Report of Dr. Watson   From this point onward I will follow the course of events by transcribing my own letters to Mr. Sherlock Holmes which lie before me on the table.","L","Adriana"
"181",200,"He would lead her away to sequestered rustic seats, whence the rush of the surf to the sands was heard soft and soothing; and when he had her all to himself, and the sea lay before them, and the scented shade of gardens spread round, and the tall shelter of cliffs rose behind them, he would pull out his last batch of sonnets, and read them in a voice tremulous with emotion.","H","Sveta"
