lemma	pos	polarity_score	has_polarity	provenance
industrius	adj	1	positive	GOLD
ineptus	adj	-1	negative	GOLD
ineuitabilis	adj	0	neutral	GOLD
inexorabilis	adj	-0.5	negative	GOLD
inexpertus	adj	-0.5	negative	GOLD
inexpiabilis	adj	-1	negative	GOLD
inexplicabilis	adj	-1	negative	GOLD
infacetus	adj	-1	negative	GOLD
infamia	noun	-1	negative	GOLD
infensus	adj	-1	negative	GOLD
inferi	noun	0	neutral	GOLD
infestus	adj	-1	negative	GOLD
infidelis	adj	-1	negative	GOLD
infidus	adj	-1	negative	GOLD
infitias	noun	-1	negative	GOLD
inflatus	adj	-0.5	negative	GOLD
ingeniosus	adj	1	positive	GOLD
inimicitia	noun	-1	negative	GOLD
inimicus	adj	-1	negative	GOLD
iniquus	noun	-1	negative	GOLD
iniuriosus	adj	-1	negative	GOLD
innocentia	noun	0.5	positive	GOLD
inquies	adj	-1	negative	GOLD
inquinatus	adj	-1	negative	GOLD
insanabilis	adj	-1	negative	GOLD
insania	noun	-1	negative	GOLD
insatiabilis	adj	0	neutral	GOLD
inscius	adj	-1	negative	GOLD
insepultus	adj	-0.5	negative	GOLD
insidiosus	adj	-1	negative	GOLD
insolentia	noun	-1	negative	GOLD
insolitus	adj	-0.5	negative	GOLD
insons	adj	1	positive	GOLD
instans	adj	-0.5	negative	GOLD
intempestiuus	adj	-1	negative	GOLD
intestabilis	adj	-1	negative	GOLD
intolerabilis	adj	-0.5	negative	GOLD
intolerandus	adj	-1	negative	GOLD
intolerans	adj	-1	negative	GOLD
intrepidus	adj	1	positive	GOLD
inuidia	noun	-1	negative	GOLD
inuidiosus	adj	-1	negative	GOLD
inuidus	adj	-1	negative	GOLD
inuidus	noun	-1	negative	GOLD
inuisus	adj	-0.5	negative	GOLD
inultus	adj	-0.5	negative	GOLD
iocus	noun	-0.5	negative	GOLD
iracundia	noun	-1	negative	GOLD
iracundus	adj	-1	negative	GOLD
irrationalis	adj	-0.5	negative	GOLD
irrisus	noun	-1	negative	GOLD
irritum	noun	-1	negative	GOLD
irritus	adj	-0.5	negative	GOLD
iudicatum	noun	0	neutral	GOLD
iunctus	adj	0	neutral	GOLD
iurgium	noun	-1	negative	GOLD
iustum	noun	1	positive	GOLD
laceratio	noun	-0.5	negative	GOLD
lamenta	noun	-1	negative	GOLD
languor	noun	-1	negative	GOLD
latebra	noun	-0.5	negative	GOLD
lator	noun	0	neutral	GOLD
laudabilis	adj	1	positive	GOLD
laus	noun	1	positive	GOLD
lautus	adj	1	positive	GOLD
lector	noun	0	neutral	GOLD
lenitas	noun	1	positive	GOLD
lenocinium	noun	-1	negative	GOLD
lepos	noun	1	positive	GOLD
leuamen	noun	1	positive	GOLD
leuamentum	noun	0.5	positive	GOLD
libellus	noun	0	neutral	GOLD
libens	adj	1	positive	GOLD
liberalis	adj	1	positive	GOLD
liberalitas	noun	1	positive	GOLD
libidinosus	adj	-1	negative	GOLD
licentia	noun	-0.5	negative	GOLD
lis	noun	-0.5	negative	GOLD
litigator	noun	0	neutral	GOLD
litigiosus	adj	-1	negative	GOLD
litteratus	adj	0.5	positive	GOLD
locuples	adj	1	positive	GOLD
longum	noun	0	neutral	GOLD
luctuosus	adj	-1	negative	GOLD
ludibrium	noun	-1	negative	GOLD
lues	noun	-1	negative	GOLD
lupus	noun	0	neutral	GOLD
lusor	noun	-0.5	negative	GOLD
luxuria	noun	-0.5	negative	GOLD
maestus	adj	-1	negative	GOLD
maledictum	noun	-1	negative	GOLD
maledicus	adj	-1	negative	GOLD
malefactum	noun	-1	negative	GOLD
maleuolus	adj	-1	negative	GOLD
malignitas	noun	-1	negative	GOLD
malignus	adj	-1	negative	GOLD
malitiosus	adj	-1	negative	GOLD
mancipium	noun	0	neutral	GOLD
manifestus	adj	-0.5	negative	GOLD
mansuetus	adj	0.5	positive	GOLD
margarita	noun	0	neutral	GOLD
memor	adj	0.5	positive	GOLD
mendacium	noun	-1	negative	GOLD
mendax	adj	-1	negative	GOLD
mendicus	adj	-1	negative	GOLD
mercatura	noun	0	neutral	GOLD
merens	adj	1	positive	GOLD
metuens	adj	-1	negative	GOLD
meum	noun	0	neutral	GOLD
mimicus	adj	-0.5	negative	GOLD
minae	noun	-0.5	negative	GOLD
minister	noun	0	neutral	GOLD
mirator	noun	0	neutral	GOLD
miserabilis	adj	-1	negative	GOLD
miserandus	adj	-1	negative	GOLD
misericordia	noun	1	positive	GOLD
misericors	adj	1	positive	GOLD
mitis	adj	1	positive	GOLD
moderatio	noun	0.5	positive	GOLD
moderatus	adj	1	positive	GOLD
modestus	adj	1	positive	GOLD
molestus	adj	-1	negative	GOLD
molliculus	adj	0.5	positive	GOLD
monitio	noun	0	neutral	GOLD
monitor	noun	0	neutral	GOLD
monitum	noun	0	neutral	GOLD
monitus	noun	0	neutral	GOLD
morbus	noun	-1	negative	GOLD
morosus	adj	-1	negative	GOLD
mortalia	noun	0	neutral	GOLD
muliercula	noun	-0.5	negative	GOLD
municeps	noun	0	neutral	GOLD
municipalis	adj	0	neutral	GOLD
munificentia	noun	1	positive	GOLD
munificus	adj	1	positive	GOLD
munus	noun	0.5	positive	GOLD
munusculum	noun	0	neutral	GOLD
mutuum	noun	0	neutral	GOLD
mutuus	adj	0	neutral	GOLD
natales	noun	0	neutral	GOLD
natus	adj	0	neutral	GOLD
nebulo	noun	-1	negative	GOLD
necessarius	noun	0	neutral	GOLD
nefandus	adj	-1	negative	GOLD
negligens	adj	-1	negative	GOLD
nex	noun	-1	negative	GOLD
nimium	noun	0	neutral	GOLD
nitens	adj	0.5	positive	GOLD
nocens	adj	-1	negative	GOLD
nugae	noun	-1	negative	GOLD
numus	noun	0	neutral	GOLD
obiurgatio	noun	-1	negative	GOLD
obligatus	adj	0	neutral	GOLD
obliuio	noun	-0.5	negative	GOLD
obnoxius	adj	-0.5	negative	GOLD
obscenus	adj	-1	negative	GOLD
obtrectator	noun	-1	negative	GOLD
occursus	noun	-0.5	negative	GOLD
odium	noun	-1	negative	GOLD
offensio	noun	-1	negative	GOLD
offensus	adj	-1	negative	GOLD
officiosus	adj	1	positive	GOLD
onerosus	adj	-0.5	negative	GOLD
opertum	noun	0	neutral	GOLD
ops	noun	0	neutral	GOLD
optabilis	adj	1	positive	GOLD
optatus	adj	1	positive	GOLD
oratorius	adj	0	neutral	GOLD
ordinatus	adj	1	positive	GOLD
ornatus	adj	0.5	positive	GOLD
ostentum	noun	0	neutral	GOLD
pactum	noun	0	neutral	GOLD
parasitus	noun	-0.5	negative	GOLD
parricida	noun	-1	negative	GOLD
parricidium	noun	-1	negative	GOLD
particeps	adj	0	neutral	GOLD
particeps	noun	0	neutral	GOLD
parum	noun	0	neutral	GOLD
paruum	noun	0	neutral	GOLD
patiens	adj	0.5	positive	GOLD
patrocinium	noun	0.5	positive	GOLD
patrona	noun	0.5	positive	GOLD
pauidus	adj	-1	negative	GOLD
pauor	noun	-1	negative	GOLD
pauper	adj	-1	negative	GOLD
pauperies	noun	-1	negative	GOLD
peccans	noun	-1	negative	GOLD
peccatum	noun	-1	negative	GOLD
peculium	noun	0	neutral	GOLD
pensus	adj	1	positive	GOLD
peracutus	adj	0.5	positive	GOLD
perditus	adj	-1	negative	GOLD
perfectus	adj	1	positive	GOLD
perfidia	noun	-1	negative	GOLD
perfidiosus	adj	-1	negative	GOLD
perfidus	adj	-1	negative	GOLD
pergratus	adj	1	positive	GOLD
periurium	noun	-1	negative	GOLD
periurus	adj	-1	negative	GOLD
perniciosus	adj	-1	negative	GOLD
perpetuitas	noun	0	neutral	GOLD
perseuerantia	noun	0.5	positive	GOLD
perturbatio	noun	-0.5	negative	GOLD
peruigil	adj	0	neutral	GOLD
peruigilium	noun	0	neutral	GOLD
pessulus	noun	0	neutral	GOLD
pestifer	adj	-1	negative	GOLD
pestis	noun	-1	negative	GOLD
philosophus	noun	0	neutral	GOLD
phreneticus	adj	-1	negative	GOLD
pignus	noun	0	neutral	GOLD
placabilis	adj	1	positive	GOLD
podagra	noun	0	neutral	GOLD
poema	noun	0	neutral	GOLD
poena	noun	-1	negative	GOLD
pomum	noun	0	neutral	GOLD
porcius	adj	0	neutral	GOLD
potentia	noun	0.5	positive	GOLD
praeconium	noun	0	neutral	GOLD
praedicatio	noun	0	neutral	GOLD
praeditus	adj	0.5	positive	GOLD
praemium	noun	1	positive	GOLD
praestabilis	adj	1	positive	GOLD
praeteritum	noun	0	neutral	GOLD
prauitas	noun	-1	negative	GOLD
prauus	adj	-1	negative	GOLD
primarius	adj	1	positive	GOLD
priuilegium	noun	0	neutral	GOLD
probabilis	adj	0.5	positive	GOLD
probatus	adj	1	positive	GOLD
probitas	noun	1	positive	GOLD
probrum	noun	-1	negative	GOLD
procax	adj	-1	negative	GOLD
proditio	noun	-0.5	negative	GOLD
proditor	noun	-0.5	negative	GOLD
professor	noun	0	neutral	GOLD
profligatus	adj	-1	negative	GOLD
proiectus	adj	-0.5	negative	GOLD
promissum	noun	0	neutral	GOLD
propensus	adj	0	neutral	GOLD
propositum	noun	0	neutral	GOLD
proprium	noun	0	neutral	GOLD
prospera	noun	1	positive	GOLD
prouidentia	noun	1	positive	GOLD
prouidus	adj	1	positive	GOLD
prouincialis	noun	-0.5	negative	GOLD
prudens	adj	1	positive	GOLD
prudentia	noun	0.5	positive	GOLD
pudendus	adj	-1	negative	GOLD
pudens	adj	0.5	positive	GOLD
quadruplator	noun	-0.5	negative	GOLD
quadruplum	noun	0	neutral	GOLD
querela	noun	-0.5	negative	GOLD
questus	noun	-0.5	negative	GOLD
rabies	noun	-1	negative	GOLD
raptum	noun	-1	negative	GOLD
rationalis	adj	0	neutral	GOLD
rea	noun	-0.5	negative	GOLD
reconciliatio	noun	0.5	positive	GOLD
recordatio	noun	0	neutral	GOLD
reditus	noun	0	neutral	GOLD
regens	noun	0	neutral	GOLD
reparabilis	adj	1	positive	GOLD
repens	adj	0	neutral	GOLD
repentinus	adj	-0.5	negative	GOLD
repulsa	noun	-1	negative	GOLD
respectus	noun	0	neutral	GOLD
reuerens	adj	1	positive	GOLD
reuerentia	noun	1	positive	GOLD
rusticitas	noun	-0.5	negative	GOLD
sacrilegium	noun	-1	negative	GOLD
sacrilegus	adj	-1	negative	GOLD
sacrilegus	noun	-1	negative	GOLD
saluber	adj	1	positive	GOLD
salutatio	noun	0	neutral	GOLD
sanabilis	adj	1	positive	GOLD
sanus	adj	1	positive	GOLD
sapiens	adj	1	positive	GOLD
sapiens	noun	1	positive	GOLD
sapientia	noun	1	positive	GOLD
satias	noun	0.5	positive	GOLD
sator	noun	0	neutral	GOLD
saturitas	noun	0.5	positive	GOLD
scabies	noun	-1	negative	GOLD
scholasticus	noun	0	neutral	GOLD
sciens	adj	0.5	positive	GOLD
scitus	adj	1	positive	GOLD
scripta	noun	0	neutral	GOLD
scrupulus	noun	-0.5	negative	GOLD
secta	noun	0	neutral	GOLD
serium	noun	0	neutral	GOLD
serius	adj	0	neutral	GOLD
sermo	noun	-0.5	negative	GOLD
seruus	adj	-1	negative	GOLD
sestertium	noun	0	neutral	GOLD
simplex	adj	0.5	positive	GOLD
simplicitas	noun	0.5	positive	GOLD
simulatio	noun	-0.5	negative	GOLD
sitis	noun	-0.5	negative	GOLD
socordia	noun	-1	negative	GOLD
solacium	noun	1	positive	GOLD
solamen	noun	1	positive	GOLD
solitarius	adj	0	neutral	GOLD
sollicitudo	noun	-0.5	negative	GOLD
sollicitus	adj	-1	negative	GOLD
sons	adj	-1	negative	GOLD
sordes	noun	-1	negative	GOLD
sordidus	adj	-1	negative	GOLD
spartanus	adj	0	neutral	GOLD
spectaculum	noun	0	neutral	GOLD
spectatus	adj	0.5	positive	GOLD
splendidus	adj	1	positive	GOLD
splendor	noun	1	positive	GOLD
sponsalia	noun	0	neutral	GOLD
sponsio	noun	0	neutral	GOLD
sponsor	noun	0	neutral	GOLD
squalor	noun	-0.5	negative	GOLD
sterilitas	noun	-0.5	negative	GOLD
stimulus	noun	0	neutral	GOLD
stoicus	adj	0	neutral	GOLD
stolidus	adj	-1	negative	GOLD
studiosus	adj	0.5	positive	GOLD
stulti	noun	-1	negative	GOLD
stultitia	noun	-1	negative	GOLD
stultus	adj	-1	negative	GOLD
stupor	noun	-0.5	negative	GOLD
stuprum	noun	-1	negative	GOLD
subdolus	adj	-1	negative	GOLD
successus	noun	0.5	positive	GOLD
suffragator	noun	0	neutral	GOLD
superbia	noun	-1	negative	GOLD
superbus	adj	-1	negative	GOLD
superior	noun	0	neutral	GOLD
superstes	adj	0.5	positive	GOLD
superstitiosus	adj	0	neutral	GOLD
supplex	noun	0	neutral	GOLD
suspectus	adj	-1	negative	GOLD
suspendium	noun	-1	negative	GOLD
suspicio	noun	-0.5	negative	GOLD
suum	noun	0	neutral	GOLD
tactio	noun	0	neutral	GOLD
taedium	noun	-1	negative	GOLD
temerarius	adj	-1	negative	GOLD
temeritas	noun	-0.5	negative	GOLD
terribilis	adj	-0.5	negative	GOLD
terror	noun	-1	negative	GOLD
testatus	adj	0.5	positive	GOLD
teter	adj	-1	negative	GOLD
thermitanus	adj	0	neutral	GOLD
timiditas	noun	-1	negative	GOLD
timidus	adj	-0.5	negative	GOLD
timor	noun	-0.5	negative	GOLD
tolerabilis	adj	0.5	positive	GOLD
tormentum	noun	-0.5	negative	GOLD
torpor	noun	-1	negative	GOLD
tortor	noun	-1	negative	GOLD
translaticius	adj	0	neutral	GOLD
translatio	noun	0	neutral	GOLD
trepidatio	noun	-1	negative	GOLD
trepidus	adj	-1	negative	GOLD
tribulis	adj	-0.5	negative	GOLD
tribunatus	noun	0	neutral	GOLD
tripus	noun	0	neutral	GOLD
tumor	noun	-0.5	negative	GOLD
turpe	noun	-1	negative	GOLD
tyrannis	noun	-0.5	negative	GOLD
uanitas	noun	-1	negative	GOLD
uanum	noun	-1	negative	GOLD
uanus	adj	-0.5	negative	GOLD
uecordia	noun	-1	negative	GOLD
uecors	adj	-1	negative	GOLD
uegetus	adj	1	positive	GOLD
uenditor	noun	-0.5	negative	GOLD
ueneficium	noun	-0.5	negative	GOLD
ueneficus	noun	-1	negative	GOLD
uenenum	noun	-0.5	negative	GOLD
ueneratio	noun	1	positive	GOLD
uenustas	noun	1	positive	GOLD
uerbosus	adj	-1	negative	GOLD
uerecundus	adj	1	positive	GOLD
ueterator	noun	-0.5	negative	GOLD
uexatio	noun	-1	negative	GOLD
uicarius	noun	0	neutral	GOLD
uilitas	noun	-0.5	negative	GOLD
uitium	noun	-1	negative	GOLD
ulcus	noun	-0.5	negative	GOLD
ultio	noun	-1	negative	GOLD
uolens	adj	0.5	positive	GOLD
uoluntarius	adj	0	neutral	GOLD
uoluptas	noun	1	positive	GOLD
uotum	noun	0	neutral	GOLD
urbanitas	noun	0.5	positive	GOLD
usura	noun	-0.5	negative	GOLD
uulgaris	adj	-0.5	negative	GOLD
